"Authors","Author full names","Author(s) ID","Title","Year","Cited by","Link","Index Keywords","Funding Details"
"Santos T.F.; Santos C.M.; Aquino M.S.; Suyambulingam I.; Kamil Hussein E.; Verma A.; Rangappa S.M.; Siengchin S.; Nascimento J.H.O.","Santos, Thiago F. (57666539300); Santos, Caroliny M. (57210929095); Aquino, Marcos S. (57210932472); Suyambulingam, Indran (54787733800); Kamil Hussein, Emad (57221475185); Verma, Akarsh (57210519982); Rangappa, Sanjay Mavinkere (57042636700); Siengchin, Suchart (23989534700); Nascimento, J.H.O. (25931044800)","57666539300; 57210929095; 57210932472; 54787733800; 57221475185; 57210519982; 57042636700; 23989534700; 25931044800","Towards sustainable and ecofriendly polymer composite materials from bast fibers: a systematic review","2024","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185406863&doi=10.1088%2f2631-8695%2fad2640&partnerID=40&md5=9c98c4c42d3bdd9d60135c2c829888b4","Biodegradability; Environmental protection; Hemp; Jute fibers; Sustainable development; Eco-friendly; Environmental concerns; Environmentally benign; Green product design; Material development; Polymer based composite; Polymer composites materials; Sustainable composite; Sustainable materials; Systematic Review; Product design",""
"de Sousa B.M.; Júnior J.G.D.; da Silva Neto V.P.","de Sousa, Bruno Matias (59232843300); Júnior, José Garibaldi Duarte (57218290128); da Silva Neto, Valdemir Praxedes (57423581000)","59232843300; 57218290128; 57423581000","A Novel Wideband Magnetoelectric Dipole Antenna with Circular Polarization Applied to CubeSat","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199577633&doi=10.1590%2f2179-10742024v23i2280888&partnerID=40&md5=e748f463dcf0d911a72b2380f08aa7ce","Bandwidth; Circular polarization; Dipole antennas; Directional patterns (antenna); Electric impedance; Microwave antennas; Nanosatellites; Satellite antennas; Axial ratio bandwidth; Cross-feeding; Cubesat; Feeding structures; Global Navigation Satellite Systems; Magneto-electric dipole antennas; Magneto-electric dipoles; Nanosatellite; Wide-band; Wideband antenna; Radiation efficiency","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES; UFRN; Federal University of Rio Grande do Norte; CAPES, (001)"
"Contoli C.; Tourani R.; Neto A.; Esposito F.; McNair J.","Contoli, Chiara (56342819200); Tourani, Reza (55849143800); Neto, Augusto (59337970100); Esposito, Flavio (23008401900); McNair, Janise (35610572500)","56342819200; 55849143800; 59337970100; 23008401900; 35610572500","Message from the Chairs","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204593560&doi=10.1109%2fNetSoft60951.2024.10679785&partnerID=40&md5=c459636fd51d86e5c3f22a00f663e331","",""
"Duarte Júnior J.G.; D'Assunção A.G.; de A. Brito-Filho F.; Silva Neto V.P.D.","Duarte Júnior, José G. (57218290128); D'Assunção, Adaildo G. (7004474343); de A. Brito-Filho, Francisco (59152883300); Silva Neto, Valdemir Praxedes da (55908415500)","57218290128; 7004474343; 59152883300; 55908415500","An efficient wireless power transfer system planar turn based for implantable medical devices applications","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194927389&doi=10.1016%2fj.measurement.2024.115014&partnerID=40&md5=9e76cfdb968497ad0de7ab3694027d2b","Dielectric materials; Efficiency; Electromagnetic coupling; Electromagnetic induction; Energy transfer; Frequency response; Inductive power transmission; Resonators; Tissue; Device application; Dielectric substrates; Diverse applications; Frequency ranges; Implantable medical devices; Inductive couplings; Magnetic-inductive coupling; Power transfer systems; Printed circular spiral; RF power; Medical applications",""
"Lins I.D.; Araújo L.M.M.; Maior C.B.S.; Ramos P.M.D.S.; Moura M.J.D.C.; Ferreira-Martins A.J.; Chaves R.; Canabarro A.","Lins, Isis Didier (27467582900); Araújo, Lavínia Maria Mendes (58064571200); Maior, Caio Bezerra Souto (57192872180); Ramos, Plínio Marcio da Silva (57790277100); Moura, Márcio José das Chagas (57120189400); Ferreira-Martins, André Juan (58313735400); Chaves, Rafael (23977564500); Canabarro, Askery (56690175400)","27467582900; 58064571200; 57192872180; 57790277100; 57120189400; 58313735400; 23977564500; 56690175400","Quantum machine learning for drowsiness detection with EEG signals","2024","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191154281&doi=10.1016%2fj.psep.2024.04.032&partnerID=40&md5=121e6dc05af221cc9252bd79d89e4171","Computational efficiency; Fractal dimension; Machine learning; Quantum theory; Biological parameter; Drowsiness detection; Electroencephalogram signals; Human reliability; Machine-learning; Multilayers perceptrons; Quantum machine learning; Quantum machines; Quantum neural networks; Reliability (engineering); Electroencephalography","Instituto Nacional de Ciência e Tecnologia de Informação Quântica, INCT-IQ; Ministério da Ciência, Tecnologia, Inovações e Comunicações, MCTIC; Brazilian Ministry of Science, Technology, and Innovation; Agência Nacional de Petróleo; Ministério da Educação, MEC; Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES; Alagoas State Research Agency; Agência Nacional do Petróleo, Gás Natural e Biocombustíveis, ANP; National Institute for Science and Technology on Quantum Information; Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco, FACEPE, (APQ-0394-3.08/22, APQ-0607-3.08/22, APQ-1101-3.08/21); Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco, FACEPE; Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq, (402761/2023-5, 307172/2017–1, 307295/2020-6, 308924/2021-5, 311375/2020-0, 409701/2022-0, 310892/2022-8); Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq; Instituto Serrapilheira, (Serra-1708-15763); Instituto Serrapilheira; Simons Foundation, SF, (1023171); Simons Foundation, SF; Financiadora de Estudos e Projetos, FINEP, (044819); Financiadora de Estudos e Projetos, FINEP; Fundação de Amparo à Pesquisa do Estado de Alagoas, FAPEAL, (APQ2022021000153); Fundação de Amparo à Pesquisa do Estado de Alagoas, FAPEAL"
"Quincozes V.E.; Mansilha R.B.; Kreutz D.; Miers C.C.; Immich R.","Quincozes, Vagner Ereno (57773301200); Mansilha, Rodrigo Brandão (24477839300); Kreutz, Diego (23990847200); Miers, Charles Christian (26428861700); Immich, Roger (23990618900)","57773301200; 24477839300; 23990847200; 26428861700; 23990618900","Auth4App: Streamlining authentication for integrated cyber–physical environments","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194946994&doi=10.1016%2fj.jisa.2024.103802&partnerID=40&md5=572d97cae09710b4a05556820b269cff","Authorization; Codes (symbols); Cybersecurity; Integration; Mobile computing; Mobile security; Network security; Authentication codes; Authentication protocols; Binding protocol; Cyber physicals; Mobile applications; One-time authorization code; Physical environments; Security vulnerabilities; User interaction; Users' experiences; Authentication","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES"
"de Moraes T.M.R.P.; Neto O.D.M.M.; Lucena A.E.D.F.L.; Lucena L.D.F.L.; Nascimento M.S.","de Moraes, Thalita Maria Ramos Porto (59107527800); Neto, Osires de Medeiros Melo (57349107800); Lucena, Adriano Elísio de Figueiredo Lopes (56715431100); Lucena, Luciana de Figueiredo Lopes (57409009100); Nascimento, Mariana Silva (58349547200)","59107527800; 57349107800; 56715431100; 57409009100; 58349547200","Viability of Asphalt Mixtures with Iron Ore Tailings as a Partial Substitute for Fine Aggregate","2024","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162919209&doi=10.1177%2f03611981231176289&partnerID=40&md5=58aa6c3972d2e84810573e6f287f9c19","Aggregates; Analysis of variance (ANOVA); Asphalt mixtures; Conservation; Cost benefit analysis; Economic analysis; Environmental protection; Pavements; Sustainable development; Tensile strength; Waste disposal; % reductions; Aggregate for asphalt; Asphalt materials; Dark colors; Fine aggregates; Infrastructure; Iron ore tailings; Mechanical performance; Resource conservation and recoveries; Transportation and sustainability; Recycling","Federal University of Campina Grande; Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES; Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq"
"Araújo P.P.B.; Tanaka R.Y.; Silva C.A.; Passaro A.; Toro P.G.P.","Araújo, Pedro P. B. (57225055494); Tanaka, Roberto Y. (24734405600); Silva, Carlos A. (57207433028); Passaro, Angelo (36920024400); Toro, Paulo G. P. (36773019800)","57225055494; 24734405600; 57207433028; 36920024400; 36773019800","Multi-objective optimization of a hypersonic airbreathing vehicle","2024","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185893123&doi=10.1063%2f5.0181366&partnerID=40&md5=0f672c3a77ac9ba0ef847a09852d557d","Combustion chambers; Computational fluid dynamics; Drag; Hypersonic vehicles; Navier Stokes equations; Shear flow; Shear stress; Shock waves; Supersonic aircraft; Air breathing; Air breathing engines; Design constraints; Multi-objective functions; Multi-objectives optimization; Pressure drag; Pressure ratio; Scramjet technology; Unstart; Viscous drag; Multiobjective optimization","FNDCT; Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES; Ministério da Ciência, Tecnologia e Inovação, MCTI, (306004/2020-8, 307691/2020-9, 405558/2022-8, 88881.387753/2019-01); Ministério da Ciência, Tecnologia e Inovação, MCTI; Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq; Foundation for Scientific and Technological Development in Health, FIOTEC"
"Haandel A.V.; Santos S.L.; Allegue T.; Garrido J.M.","Haandel, A.V. (6603817880); Santos, S.L. (57201738151); Allegue, T. (57201389166); Garrido, J.M. (57196074195)","6603817880; 57201738151; 57201389166; 57196074195","Post-treatment of anaerobically digested sewage for nutrient removal","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195332981&doi=10.2166%2f9781789063479_0127&partnerID=40&md5=410ce18b730bab2ce326d29fb5cd9e25","",""
"Silva R.A.; Andrade R.V.S.; Martins A.A.; de Araujo V.S.; da Silva Júnior A.A.; do Nascimento E.G.; de Oliveira Wanderley Neto A.; de Souza Balbinot G.; Collares F.M.; Alves A.P.N.N.; de Carvalho Leitão R.F.; Rebouças C.S.M.; Dametto F.R.; Lima R.R.; Alves S.M.; de Araújo A.A.","Silva, Rafaela Alcindo (57358068900); Andrade, Raphael Victor Silva (57956585400); Martins, Agnes Andrade (57223370151); de Araujo, Valkleidson Santos (58742409000); da Silva Júnior, Arnóbio Antônio (57197200041); do Nascimento, Ednaldo Gomes (6701818206); de Oliveira Wanderley Neto, Alcides (57216792554); de Souza Balbinot, Gabriela (57194618692); Collares, Fabricio Mezzomo (15843246600); Alves, Ana Paula Negreiros Nunes (14013384900); de Carvalho Leitão, Renata Ferreira (55178451800); Rebouças, Conceição S. Martins (57955906000); Dametto, Fábio Roberto (7801412622); Lima, Rafael Rodrigues (23493064500); Alves, Salete Martins (14319076200); de Araújo, Aurigena Antunes (37022977400)","57358068900; 57956585400; 57223370151; 58742409000; 57197200041; 6701818206; 57216792554; 57194618692; 15843246600; 14013384900; 55178451800; 57955906000; 7801412622; 23493064500; 14319076200; 37022977400","Portland cement associated with niobium is evidenced by the presence of calcium crystals and biocompatibility in the rat subcutaneous tissue","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191885264&doi=10.1557%2fs43578-024-01349-x&partnerID=40&md5=82c99574c8dfaf49dc144a88574df9dd","Biocompatibility; Bismuth compounds; Bone; Calcium; Hydrated lime; Rats; Tubes (components); Biological; Ceramic; Different proportions; Hematoxylin eosin; Mechanical; Mineralisation; Strength; Subcutaneous tissues; Von Kossa staining; Wistar rat; Portland cement","Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq, (304382/2020-5, 401672/2023-9, 23038.005350/2018-78); Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq"
